state,year,month,articles_all,articles_EPU_BBD,articles_EPU_Composite,articles_EPU_National,articles_EPU_State,ym,EPU_BBD,EPU_National,EPU_State,EPU_Composite,US_monthly_EPU,max_new_case,max_new_death,total_new_case,total_new_death,new_case,new_death,tot_cases,tot_death,is_school,is_res,is_bus,is_sip,repub_share_2016,stayathomeorder,mandatoryquarantinefortravelers,nonessentialbusinessclosures,largegatheringsban,schoolclosures,restaurantlimits,facecoveringrequirement,barclosures,unemp,emp,coincident_indic,population,state_code,period,lpop,num_papers,pres_general_election,pres_vote_margin,gov_general_election,gov_general_vote_share,gov_repub_dem_third,gov_primary_election,gov_primary_vote_share
MS,2018,5,6492,3,4,4,2,2018.3334,74.250069,99.000092,49.500046,99.000092,156.66301,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1153.4,117.04864051,2981020,MS,24221,14.907776,24,,,,,,,
MS,2018,6,5654,6,6,6,1,2018.4166,170.50989,170.50989,28.418316,170.50989,129.75334,,,,,,,,,,,,,.57941037,,,,,,,,,4.8,1153.5,117.18902967,2981020,MS,24222,14.907776,24,,,,,,,
MS,2018,7,5337,6,1,1,1,2018.5,180.6376,30.106268,30.106268,30.106268,170.10957,,,,,,,,,,,,,.57941037,,,,,,,,,4.8,1151.3,117.32526946,2981020,MS,24223,14.907776,24,,,,,,,
MS,2018,8,6628,9,10,4,8,2018.5834,218.1796,96.968704,193.93741,242.42177,110.98449,,,,,,,,,,,,,.57941037,,,,,,,,,4.8,1153.2,117.543563,2981020,MS,24224,14.907776,24,,,,,,,
MS,2018,9,5751,2,8,1,8,2018.6666,55.877987,27.938993,223.51195,223.51195,116.79992,,,,,,,,,,,,,.57941037,,,,,,,,,4.9,1154.3,117.63672044,2981020,MS,24225,14.907776,24,,,,,,,
MS,2018,10,6212,5,5,5,1,2018.75,129.32803,129.32803,25.865608,129.32803,131.40601,,,,,,,,,,,,,.57941037,,,,,,,,,5,1155.7,117.74196989,2981020,MS,24226,14.907776,24,,,,,,,
MS,2018,11,6015,5,2,1,2,2018.8334,133.56372,26.712742,53.425484,53.425484,159.23631,,,,,,,,,,,,,.57941037,,,,,,,,,5.2,1157.4,117.84212383,2981020,MS,24227,14.907776,24,,,,,,,
MS,2018,12,5108,4,6,6,2,2018.9166,125.82392,188.73589,62.911961,188.73589,218.73886,,,,,,,,,,,,,.57941037,,,,,,,,,5.3,1156.2,117.84033004,2981020,MS,24228,14.907776,24,,,,,,,
MS,2019,1,5933,3,4,1,3,2019,81.245819,27.08194,81.245819,108.32776,274.30673,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1160.2,118.13550374,2976149,MS,24229,14.90614,25,,,,,,,
MS,2019,2,5169,1,3,1,3,2019.0834,31.084764,31.084764,93.254295,93.254295,119.36221,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1159.2,118.20191511,2976149,MS,24230,14.90614,25,,,,,,,
MS,2019,3,5641,4,4,3,2,2019.1666,113.93522,85.451416,56.967609,113.93522,174.38306,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1158.9,118.131361,2976149,MS,24231,14.90614,25,,,,,,,
MS,2019,4,5470,2,3,2,2,2019.25,58.748501,58.748501,58.748501,88.122757,105.89196,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1157.4,118.21734359,2976149,MS,24232,14.90614,25,,,,,,,
MS,2019,5,5663,1,2,2,1,2019.3334,28.37315,56.7463,28.37315,56.7463,155.29355,,,,,,,,,,,,,.57941037,,,,,,,,,5.4,1158.2,118.38107492,2976149,MS,24233,14.90614,25,,,,,,,
MS,2019,6,4648,5,5,5,1,2019.4166,172.84547,172.84547,34.569096,172.84547,200.79628,,,,,,,,,,,,,.57941037,,,,,,,,,5.5,1157.4,118.50793972,2976149,MS,24234,14.90614,25,,,,,,,
MS,2019,7,4730,6,6,5,2,2019.5,203.8188,169.849,67.939598,203.8188,200.55887,,,,,,,,,,,,,.57941037,,,,,,,,,5.6,1158.6,118.55646179,2976149,MS,24235,14.90614,25,,,,,,,
MS,2019,8,5081,6,8,8,3,2019.5834,189.7388,252.98509,94.8694,252.98509,272.74954,,,,,,,,,,,,,.57941037,,,,,,,,,5.7,1158.3,118.69883949,2976149,MS,24236,14.90614,25,,,,,,1,
MS,2019,9,5138,5,7,6,4,2019.6666,156.36157,187.63388,125.08926,218.90619,180.18419,,,,,,,,,,,,,.57941037,,,,,,,,,5.7,1157.7,118.77267516,2976149,MS,24237,14.90614,25,,,,,,,
MS,2019,10,5732,9,10,7,5,2019.75,252.28442,196.22122,140.15802,280.31604,153.99338,,,,,,,,,,,,,.57941037,,,,,,,,,5.6,1157,118.9937025,2976149,MS,24238,14.90614,25,,,,,,,
MS,2019,11,5133,3,5,3,5,2019.8334,93.908325,93.908325,156.51387,156.51387,164.58287,,,,,,,,,,,,,.57941037,,,,,,,,,5.6,1158.3,119.13651872,2976149,MS,24239,14.90614,25,,,1,.51914376,1,,
MS,2019,12,4936,1,5,2,5,2019.9166,32.552097,65.104195,162.76048,162.76048,183.91473,,,,,,,,,,,,,.57941037,,,,,,,,,5.5,1157.5,119.18246475,2976149,MS,24240,14.90614,25,,,,,,,
MS,2020,1,5003,9,10,7,4,2020,289.04544,224.81311,128.46465,321.16162,159.05589,0,0,0,0,0,0,0,0,,,,,.57941037,,,,,,,,,5.6,1162.4,119.48377684,2976149,MS,24241,14.90614,24,,,,,,,
